DS,ID,Class,SMILES
TS,bq_1,L,O=C(c1cccc2nnsc21)SC
TS,bq_16,L,O=CNc1ccc(C(=O)N(C)C)c(c1)S(=O)(=O)NC(=O)Nc2nc(OC)cc(n2)OC
TS,bq_6,L,N#CC(C(=O)OCCOC)(C(=O)c1ccccc1C(F)(F)F)c2ccc(cc2)C(C)(C)C
TS,bq_19,L,O=C(N(c1c(cccc1C)C)Cn2nccc2)CCl
TS,bq_190,L,n1c(nc(nc1NC(C)C)SC)NCC
TS,bq_25,L,n1c(nc(cc1C)C)Nc2ccccc2
TS,bq_30,L,n1cscc1-c2nc3ccccc3[nH]2
TS,bq_196,L,n1cnn(c1)CC2(OCC(O2)CCC)c3ccc(cc3Cl)Cl
TS,bq_3,L,O=C(OC(C)C)NC(C(=O)NC(c1nc2ccc(F)cc2s1)C)C(C)C
TS,bq_35,L,O=C(OC(C)C)NC(C(=O)NC(c1ccc(cc1)Cl)CC(=O)OC)C(C)C
TS,bq_5,L,O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c2ccc3OCCCc3c2C
TS,bq_15,L,O=C1C(c2cccc(c2)C(F)(F)F)=C(OC1c3ccccc3)NC
TS,bq_4,L,O=c1c(c(N)cnn1-c2ccccc2)Cl
TS,bq_22,L,O=C(Nc1ccccc1)N(Cc2ccc(cc2)Cl)C3CCCC3
TS,bq_7,L,O=C(NC(=O)c1c(F)cccc1F)Nc2ccc(cc2)Cl
TS,bq_10,L,O=C1N(Nc2ccccc2)C(=NC1(c3ccccc3)C)SC
TS,bq_8,L,O=C(NC)C(=NOC)c1ccccc1COc2cc(ccc2C)C
TS,bq_23,L,O=C(OC)C(=COC)c1ccccc1COc2nc(ccc2)C(F)(F)F
TS,bq_11,L,O=C(OC(C)(C)C)c1ccc(cc1)CON=Cc2c(nn(c2Oc3ccccc3)C)C
TS,bq_24,L,O=C(OCCON=C(C)C)C(Oc1ccc(Oc2nc3ccc(cc3nc2)Cl)cc1)C
TS,bq_9,L,Fc1ccc(cc1)C2(OC2c3ccccc3Cl)Cn4ncnc4
TS,bq_14,L,FC(F)(F)Oc1ccc(cc1)C(O)(c2cncnc2)C(C)C
TS,bq_20,L,O=S(=O)(Nc1c(ccc(c1Cl)C)Cl)c2nc3nc(OC)cc(OC)n3n2
TS,bq_28,L,O=C1OC2(C(OC(=O)CC(C)(C)C)=C1c3c(cc(cc3C)C)C)CCCC2
TS,bq_17,L,O=C(O)C1C2C3(OC(=O)C2(C)C(O)C=C3)C4CCC5(O)C(=C)CC14C5
TS,bq_27,L,O=C1OC2(C(OC(=O)C(C)(C)CC)=C1c3cc(cc(c3)Cl)Cl)CCCCC2
TS,bq_26,L,O=C(Nc1nc(OC)cc(n1)OC)NS(=O)(=O)c2ncccc2S(=O)(=O)CC
TS,bq_198,L,O=C(OC)C(Oc1ccc(Oc2ccc(cc2Cl)Cl)cc1)C
TS,bq_194,L,O=C1N(OCC1(C)C)Cc2ccccc2Cl
TS,bq_33,L,O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F
TS,bq_199,L,O=[N+]([O-])c1cc(cc(c1N(CCC)CCCl)[N+](=O)[O-])C(F)(F)F
